MovieID,MovieName,Genre,Description,Rating,Year,Director
1,Ghosted,Comedy,,5.8,2023,Dexter Fletcher
2,65,"Science, Fiction",An astronaut crash lands on a mysterious planet only to discover he's not alone.,5.5,2023,"Scott Beck, Bryan Woods"
3,Shazam! Fury of the Gods,"Action, Thriller, Crime, Fantasy, Comedy, Adventure","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.",6.1,2023,David F. Sandberg
4,Wonka,"Adventure, Comedy, Family, Fantasy, Musical",,8,2023,Paul King
5,M3GAN,"Horror, Sci-Fi",A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,6.4,2022,Gerard Johnstone
6,Scream VI,Thriller,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",7.1,2023,"Matt Bettinelli-Olpin, Tyler Gillett"
7,Close,Drama,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility.",7.8,2022,Lukas Dhont
8,Before Sunset,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",8.1,2004,Richard Linklater
9,Melancholia,"Drama, Sci-Fi",Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,7.1,2011,Lars von Trier
10,The Silence of the Lambs,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,1991,Jonathan Demme
11,Blade Runner,"Drama, Sci-Fi",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,8.1,1982,Ridley Scott
12,Se7en,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,1995,David Fincher
13,Paprika,"Animation, Drama, Fantasy","When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",7.7,2006,Satoshi Kon
14,Aftersun II,Drama,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,7.7,2022,Charlotte Wells
15,Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama",An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,7.5,1998,Terry Gilliam
16,Oldboy,"Action, Drama, Mystery","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",8.4,2003,Park Chan-wook
17,"Crouching Tiger, Hidden Dragon","Drama, Fantasy, Adventure, Romance, Action",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,7.9,2000,Ang Lee
18,Basic Instinct,"Drama, Mystery, Thriller",A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,7,1992,Paul Verhoeven
19,Crash,Drama,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",6.4,1996,David Cronenberg
20,La haine,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1,1995,Mathieu Kassovitz
21,Tunnel,"Drama, Thriller","A man is on his way home when the poorly constructed tunnel he is driving through collapses, leaving him trapped.",6.8,2016,Seong Hun Kim
22,Inside,"Drama, Thriller","Nemo, a high-end art thief, is trapped in a New York penthouse after his heist doesn't go as planned. Locked inside with nothing but priceless works of art, he must use all his cunning and ingenuity to survive.",5.6,2023,Vasilis Katsoupis
23,Past Lives,"Drama, Romance","Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. 20 years later, they are reunited for one fateful week as they confront notions of love and destiny.",,2023,Celine Song
24,Confession,"Mystery, Thriller",A man who suffers from amnesia caused by a terrible car accident suspects that his wife tells him not the truth about his true personality.,4.6,2015,Yeong-bae Jeong
