id,Name,coordinates
1,The Exorcist Steps,"38.9053955078125, -77.0701599121094"
2,The Vault 1894,"51.504337310791, -0.0763460546731949"
3,Shad Thames,"51.5041122436523, -0.075634628534317"
4,Elk Creek Falls,"42.8159294128418, -124.011764526367"
5,Kisatchie National Forest,"30.999204937563768, -92.6237100431039"
6,Whaleshead Beach,"42.144484217962464, -124.35505145133122"
7,Benjamin Franklin Bridge,"39.951961517334, -75.1291961669922"
8,"Atlanta, Georgia","33.75469926288897, -84.38924608089629"
9,"Philadelphia, Pennsylvania","39.956605482541946, -75.16748026934017"
10,"Bath, Somerset, England, UK","51.37839367150099, -2.3595443079642036"
11,Verulamium Park,"51.74994743816233, -0.35309974644115477"
12,"Abbey Mill Lane, St Albans, England, UK","51.7501191413476, -0.345481231576426"
13,Auckland University of Technology,"-36.8479892065048, 174.76477327755757"
14,Auckland Showgrounds,"-36.89142774322258, 174.7813669717181"
15,"Los Angeles, California","34.05759298966225, -118.23600946721847"
16,La Fontaine Park,"45.532822262697564, -73.5681298776324"
17,Le National,"45.51874512167634, -73.55587818839648"
18,Sherbrooke Street,"45.60664635645235, -73.52898307421869"
19,"Zundert, Noord-Brabant, Netherlands","51.47096450903707, 4.661639947668933"
20,"Wetteren, Flanders, Belgium","51.00338633947316, 3.8812350561293867"
21,Wien Westbahnhof,"48.19682052594242, 16.337637524057424"
22,Zollamssteg Bridge,"48.20993866655692, 16.384394452894163"
23,"Albertina Palais Museum, Augustinerstraße 1","48.204863631604624, 16.368171668238016"
24,"Tjolöholm Castle, Sweden","57.398674488835596, 12.10327688408463"
25,"Trollhättan, Västra Götalands län, Sweden","58.28372259502883, 12.288313875347772"
26,"Carnegie Museum of Natural History, Forbes Avenue, Pittsburgh","40.44346844415161, -79.94992035911186"
27,"Bimini Airport, South Bimini Island, Bimini Islands, Bahamas","25.701506888261605, -79.27264221916111"
28,"Lindbergh Avenue, Shaler Township, Pennsylvania, USA","40.519232910510766, -79.95710245910851"
29,"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA","34.0507639805167, -118.2478787612207"
30,"2nd Street Tunnel between Hill and Figueroa, Los Angeles, California, USA","34.05350286436558, -118.2482114900566"
31,"Pan Am building, 253 S. Broadway, Downtown, Los Angeles, California, USA","34.051523525225385, -118.2482921458766"
32,"Beacon Avenue, Westlake, Downtown Los Angeles","34.0513042547758, -118.27444613238468"
33,"Pacific Electric Building, South Main Street, Downtown Los Angeles","34.04495,-118.2499"
34,"South Figueroa Street, Downtown Los Angeles","34.049722,-118.259444"
35,"Ölüdeniz, Turkey","36.5501241594225, 29.115085692367824"
36,"Sultaniye, Turkey","36.881800437237914, 28.583252306348456"
37,"Kaunos, Turkey","36.826268279471876, 28.62199752696737"
38,"Stardust Hotel & Casino - 3000 Las Vegas Boulevard South, Las Vegas, Nevada, USA. (Permanently closed)","36.13397021057513, -115.16381875722043"
39,"Bahooka Family Restaurant, Rosemead, California, USA. (Permanently Closed)","34.087368185862495, -118.07366501703912"
40,"Le Bistro Lounge, Riviera Hotel & Casino - 2901 Las Vegas Boulevard South, Las Vegas, Nevada, USA. (Permanently closed)","36.13553794023436, -115.15922427463363"
41,"Mount Lyford, Southern Alps, New Zealand","-42.442247426530116, 173.1436525990862"
42,"Songgye High School, Chinju, Kyongsangnam-Do, South Korea","35.928633424482236, 128.5420701387037"
43,"Busan, South Korea","35.179268, 129.066818"
44,Anji Bamboo Forest,"30.578734340798714, 119.65287528834403"
45,Huangshan Region,"30.106032931288617, 118.17553612693396"
46,Mount Cangyan,"37.84144154272518, 114.13404136891103"
47,"Vallejo Street, Pacific Heights, San Francisco, California, United States","37.79728847471194, -122.42291695186381"
48,"Broadway, Pacific Heights, San Francisco","37.79779721591992, -122.40748809599063"
49,"Burbank, Los Angeles","34.188440807353196, -118.31155678224043"
50,"Port of Los Angeles, Los Angeles, California, USA","33.73839703330164, -118.26477612229097"
51,"3500 S. Gaffey Street, San Pedro, Los Angeles, California, USA","33.71262104050935, -118.29228707502612"
52,"Broxton Avenue, Westwood Village, Westwood, Los Angeles, California, USA","34.06215728266879, -118.44673629035273"
53,"Chanteloup-les-Vignes, Yvelines, France","48.97953958458345, 2.0302664147641503"
54,"Place René-Cassin, Paris, France","48.86297203808794, 2.3453776437085563"
55,"Gare Saint-Lazare, Paris, France","48.87611035305739, 2.325456141094713"
56,"Folkestone Harbor, United Kingdom","51.07842044320434, 1.1870707912268648"
57,Westwood Industrial Estate,"51.36701287084282, 1.3900794932283305"
58,Dover Castle,"51.13075931796142, 1.3203624814242914"
59,MMC Studios Köln GmbH,"50.98749061655636, 6.894714476096313"
60,"Main Street Park, New York","40.704475402832, -73.990348815918"
61,Jane's Carousel,"40.7045478820801, -73.9923706054688"
62,Madison Square Park - Admiral David Glasgow Farragut Monument,"40.7427101135254, -73.9877014160156"
